"","Season","TeamName","Tempo","RankTempoSeason","AdjTempo","RankAdjTempoSeason","OE","RankOESeason","AdjOE","RankAdjOESeason","DE","RankDESeason","AdjDE","RankAdjDESeason","AdjSOS","RankAdjSOS_Season","seed_season"
"195",2021,"USC",67.5611,249,67.2898,236,108.537,44,112.883,30,94.8746,41,90.6583,19,22.2245,14,"6"
"196",2021,"Utah St.",69.4931,165,68.8615,154,104.427,102,105.729,112,89.3923,6,89.2192,8,16.51,40,"11"
"197",2021,"VCU",70.2879,121,69.8256,110,101.518,163,105.49,117,92.1215,15,89.5783,12,15.9115,45,"10"
"198",2021,"Villanova",66.2426,300,65.0666,320,113.621,9,118.602,9,100.98,155,95.984,68,22.6184,12,"5"
"199",2021,"Virginia",60.7903,347,60.0732,357,112.421,14,115.637,12,98.7173,97,92.9824,33,22.6542,11,"4"
"200",2021,"Virginia Tech",66.4982,291,66.1503,293,106.985,60,110.048,55,97.7696,75,94.8276,54,15.2207,50,"10"
"201",2021,"West Virginia",70.6837,104,69.6016,114,107.886,55,116.128,11,100.446,142,95.8073,65,20.3206,27,"3"
"202",2021,"Wichita St.",67.952,231,67.5992,225,104.413,103,109.988,56,100.617,150,98.4414,103,11.5469,74,"11"
"203",2021,"Winthrop",72.7021,40,73.6395,11,109.293,36,105.093,120,91.6949,14,96.1535,70,8.93908,91,"12"
"204",2021,"Wisconsin",65.7692,317,64.9341,326,105.076,91,112.522,32,97.043,66,89.8672,13,22.6545,10,"9"
"205",2019,"Abilene Christian",66.5681,293,66.0042,254,107.102,87,103.625,186,96.7466,43,101.539,119,2.08626,145,"15"
"206",2019,"Arizona St.",72.1332,45,70.4917,46,106.426,102,109.774,68,99.8027,94,98.5646,79,11.2091,61,"11"
"207",2019,"Auburn",68.8594,182,67.5363,166,113.662,14,119.571,8,99.1996,77,96.2397,45,23.3317,13,"5"
"208",2019,"Baylor",66.6446,289,65.2511,291,107.248,83,113.517,28,100.481,114,98.2238,75,15.2935,41,"9"
"209",2019,"Belmont",74.2457,13,71.1231,31,116.393,5,114.834,20,99.6691,89,101.76,127,13.0739,54,"11"
